Dataset1,Dataset2
173,86
269,86
347,86
380,302
216,250
128,122
333,122
355,267
297,267
340,267
58,203
92,203
395,203
227,203
166,203
216,203
115,139
12,139
244,229
282,334
84,334
115,334
108,26
166,12
54,12
48,12
347,12
247,12
357,12
296,12
333,12
267,194
315,194
203,194
35,194
282,194
29,194
298,194
8,194
84,194
1,194
272,392
223,392
364,392
95,392
377,392
297,392
395,194
300,249
117,249
173,249
89,249
347,249
203,249
87,249
297,249
190,249
90,194
66,194
123,194
102,194
81,19
219,19
191,19
264,19
82,19
227,19
180,19
286,19
173,19
173,19
257,19
22,19
102,19
398,19
242,19
208,19
128,19
64,19
85,19
257,19
163,19
5,19
5,19
340,19
351,19
73,19
93,25
262,25
75,25
370,25
58,25
274,25
195,25
111,25
343,208
289,208
221,208
97,208
221,314
279,314
48,314
221,314
264,314
304,314
192,13
48,13
146,171
399,171
161,171
192,171
14,171
15,171
399,171
370,171
47,171
265,182
67,182
375,182
331,182
81,182
180,182
331,186
162,1
174,1
163,1
364,114
106,114
60,114
163,114
331,114
29,114
383,314
118,313
235,313
146,313
367,132
222,132
148,132
338,132
148,132
337,132
118,132
369,132
315,132
24,263
193,60
348,60
284,60
229,60
20,60
236,60
371,60
151,60
371,60
65,7
157,159
151,159
290,159
232,159
,159
,159
,381
,381
,381
,381
,336
,336
,336
,336
,336
,336
,7
,7
,7
,7
,324
,324
,324
,324
,324
,324
,381
,381
,381
,381
,164
,164
,164
,164
,164
,164
,164
,164
,164
,164
,379
,379
,379
,379
,379
,379
,21
,42
,42
,42
,263
,263
,263
,263
,263
,263
,256
,227
,343
,58
,58
,58
,58
,58
,58
,58
,58
,58
,314
,314
,213
,213
,213
,213
,213
,213
,213
,299
,299
,299
,208
,272
,272
,272
,272
,272
,272
,272
,272
,272
,272
,28
,28
,28
,28
,28
,28
,28
,28
,28
,28
,28
,28
,259
,259
,259
,259
,259
,259
,259
,259
,259
,259
,216
,216
,216
,216
,216
,216
,216
,216
,216
,234
,234
,89
,89
,89
,89
,94
,94
,94
,29
,29
,29
,29
,29
,29
,29
,29
,29
,29
,29
,29
,29
,29
,29
,175
,50
,50
,50
,50
,50
,50
,50
,50
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,101
,272
,272
,272
,272
,272
,272
,272
,272
,272
,272
,272
,272
,28
,28
,28
,227
,227
,227
,227
,143
,143
,143
,143
,143
,143
,80
,80
,80
,80
,267
,267
,267
,208
,208
,208
,208
,208
,208
,208
,208
,208
,8
,242
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,76
,76
,76
,76
,76
,76
,297
,297
,297
,297
,6
,6
,6
,6
,6
,6
,373
,165
,165
,165
,76
,8
,8
,8
,8
,8
,8
,8
,8
,8
,8
,280
,86
,86
,306
,306
,306
,306
,306
,306
,74
,74
,323
,323
,323
,340
,340
,340
,340
,340
,20
,20
,20
,20
,20
,20
,20
,20
,20
,243
,24
,24
,24
,24
,24
,24
,24
,24
,24
,24
,52
,52
,52
,40
,40
,40
,40
,40
,40
,310
,310
,310
,302
,302
,302
,302
,302
,302
,302
,302
,302
,302
,71
,71
,71
,71
,71
,71
,79
,79
,79
,79
,79
,79
,79
,197
,197
,197
,197
,197
,197
,197
,197
,197
,197
,197
,197
,197
,17
,17
,17
,17
,17
,17
,17
,17
,17
,17
,35
,35
,35
,35
,35
,35
,35
,241
,241
,241
,51
,140
,391
,47
,227
,227
,227
,9
,9
,9
,9
,9
,9
,9
,9
,277
,277
,61
,61
,61
,61
,61
,61
,61
,61
,61
,61
,10
,10
,75
,75
,75
,75
,75
,75
,75
,75
,110
,110
,74
,74
,74
,74
,74
,74
,74
,306
,306
,169
,169
,169
,169
,169
,169
,169
,169
,169
,139
,139
,139
,321
,321
,321
,321
,321
,321
,143
,143
,143
,220
,220
,220
,220
,220
,351
,351
,10
,10
,75
,75
,75
,75
,75
,75
,175
,175
,237
,75
,88
,220
,220
,220
,220
,220
,220
,220
,220
,82
,82
,82
,82
,82
,82
,82
,82
,104
,104
,126
,126
,126
,126
,126
,126
,126
,126
,126
,248
,248
,97
,97
,97
,97
,97
,97
,97
,97
,96
,96
,96
,96
,232
,232
,232
,232
,232
,232
,232
,152
,152
,152
,152
,152
,152
,152
,122
,122
,122
,8
,8
,8
,174
,174
,174
,174
,174
,174
,174
,20
,20
,20
,20
,20
,20
,20
,24
,24
,24
,24
,24
,24
,24
,24
,24
,75
,75
,75
,260
,260
,260
,260
,260
,260
,260
,260
,260
,11
,53
,53
,53
,53
,53
,53
,53
,53
,53
,11
,11
,11
,11
,11
,11
,11
,11
,11
,11
,362
,183
,183
,183
,183
,183
,183
,183
,183
,183
,183
,362
,362
,362
,362
,362
,362
,362
,362
,362
,362
,11
,11
,9
,9
,9
,9
,9
,9
,9
,110
,335
,335
,335
,335
,335
,335
,335
,298
,298
,298
,298
,298
,298
,298
,298
,298
,298
,335
,380
,380
,380
,380
,380
,380
,380
,340
,340
,373
,373
,373
,373
,373
,373
,373
,373
,373
,373
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,297
,297
,297
,297
,297
,297
,297
,297
,297
,297
,54
,54
,54
,54
,54
,54
,54
,59
,59
,59
,79
,79
,79
,79
,79
,79
,342
,342
,342
,342
,122
,122
,122
,246
,246
,246
,246
,246
,246
,267
,267
,267
,267
,59
,59
,59
,59
,59
,59
,59
,59
,349
,52
,193
,193
,86
,86
,310
,83
,83
,83
,83
,83
,83
,288
,288
,288
,288
,288
,288
,288
,288
,288
,288
,375
,86
,86
,86
,86
,256
,70
,340
,340
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,340
,340
,340
,340
,340
,340
,340
,340
,340
,340
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,92
,116
,294
,294
,294
,294
,294
,38
,38
,38
,38
,38
,38
,23
,143
,143
,143
,143
,143
,306
,306
,306
,306
,306
,306
,306
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,156
,156
,156
,243
,243
,243
,243
,243
,243
,208
,301
,301
,301
,301
,301
,301
,304
,301
,223
,223
,223
,223
,223
,223
,223
,223
,223
,83
,45
,45
,45
,45
,165
,165
,165
,165
,165
,165
,165
,35
,241
,241
,120
,120
,120
,120
,120
,120
,120
,276
,276
,276
,104
,104
,104
,104
,104
,104
,104
,104
,126
,126
,126
,126
,126
,126
,126
,126
,126
,126
,126
,126
,248
,248
,248
,248
,248
,248
,248
,248
,248
,250
,122
,122
,267
,267
,131
,131
,131
,131
,131
,131
,131
,131
,208
,208
,8
,8
,8
,8
,8
,8
,8
,8
,8
,8
,30
,129
,189
,189
,189
,189
,189
,189
,189
,189
,226
,123
,184
,184
,184
,184
,184
,184
,184
,184
,123
,123
,123
,123
,123
,123
,123
,123
,123
,123
,226
,226
,226
,226
,226
,226
,226
,226
,226
,226
,84
,84
,84
,84
,84
,84
,84
,84
,84
,84
,274
,274
,281
,281
,281
,281
,281
,281
,281
,184
,226
,226
,226
,226
,226
,226
,226
,226
,226
,274
,274
,274
,274
,274
,274
,86
,13
,13
,13
,13
,13
,13
,13
,13
,13
,13
,13
,13
,13
,88
,88
,88
,88
,88
,88
,88
,88
,88
,88
,314
,314
,314
,208
,208
,208
,208
,208
,208
,208
,329
,329
,329
,329
,227
,227
,227
,208
,208
,208
,208
,208
,208
,208
,58
,314
,213
,213
,213
,213
,213
,213
,299
,94
,22
,95
,10
,10
,10
,75
,75
,75
,75
,75
,75
,88
,89
,89
,89
,89
,89
,89
,89
,89
,89
,208
,8
,8
,8
,356
,356
,356
,356
,356
,356
,122
,122
,122
,122
,13
,13
,13
,13
,13
,109
,109
,109
,109
,109
,109
,109
,109
,109
,109
,86
,86
,208
,243
,243
,243
,243
,243
,344
,344
,337
,337
,337
,337
,337
,337
,337
,337
,337
,337
,154
,154
,154
,154
,154
,154
,170
,170
,170
,170
,156
,356
,272
,10
,10
,354
,354
,354
,354
,354
,354
,354
,42
,42
,42
,2
,2
,2
,2
,2
,2
,2
,2
,156
,156
,156
,344
,344
,344
,344
,344
,344
,267
,267
,267
,306
,306
,306
,306
,306
,306
,208
,208
,195
,195
,195
,195
,195
,195
,8
,195
,207
,207
,207
,207
,207
,207
,207
,207
,85
,85
,85
,85
,85
,85
,93
,93
,313
,52
,52
,40
,40
,40
,40
,40
,40
,40
,40
,158
,38
,38
,38
,38
,38
,38
,38
,282
,252
,63
,63
,63
,63
,63
,63
,63
,63
,63
,63
,369
,369
,369
,369
,369
,228
,344
,228
,228
,228
,228
,228
,228
,228
,228
,228
,20
,186
,186
,186
,186
,186
,186
,186
,186
,139
,139
,71
,71
,71
,71
,71
,71
,378
,378
,378
,378
,125
,125
,125
,125
,125
,125
,125
,125
,125
,125
,378
,378
,378
,378
,378
,378
,345
,345
,345
,345
,384
,384
,384
,384
,384
,384
,345
,345
,345
,345
,352
,349
,349
,136
,136
,136
,136
,136
,136
,136
,136
,136
,136
,136
,80
,80
,80
,80
,80
,80
,80
,80
,80
,196
,80
,80
,80
,321
,321
,321
,321
,321
,321
,268
,268
,268
,268
,268
,268
,268
,268
,268
,268
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,108
,108
,108
,108
,108
,108
,108
,108
,108
,108
,90
,90
,90
,90
,90
,90
,90
,90
,90
,90
,227
,97
,30
,369
,369
,235
,235
,235
,235
,235
,235
,151
,151
,151
,151
,151
,151
,151
,151
,151
,151
,151
,151
,222
,222
,222
,222
,222
,222
,222
,222
,222
,222
,370
,370
,370
,359
,359
,359
,359
,359
,359
,359
,359
,359
,135
,360
,360
,360
,360
,360
,360
,360
,269
,269
,269
,269
,269
,269
,62
,398
,377
,377
,377
,136
,108
,88
,386
,386
,319
,319
,319
,319
,319
,319
,319
,319
,319
,383
,0
,0
,0
,0
,0
,0
,0
,0
,0
,368
,368
,368
,368
,368
,368
,368
,114
,114
,322
,93
,93
,93
,93
,93
,93
,93
,93
,383
,86
,179
,179
,179
,250
,122
,122
,122
,267
,267
,267
,131
,208
,32
,32
,319
,319
,319
,319
,319
,319
,319
,327
,267
,52
,52
,52
,52
,52
,52
,52
,52
,208
,380
,380
,380
,380
,380
,380
,380
,380
,380
,333
,333
,297
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,6
,297
,297
,297
,297
,297
,297
,297
,6
,6
,6
,76
,76
,76
,76
,76
,76
,76
,13
,13
,275
,275
,275
,275
,275
,275
,275
,275
,275
,275
,275
,275
,385
,368
,199
,199
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,113
,396
,396
,396
,205
,205
,205
,205
,205
,205
,205
,231
,231
,231
,231
,231
,231
,340
,340
,59
,59
,59
,59
,59
,59
,59
,59
,59
,52
,27
,27
,27
,27
,27
,27
,199
,199
,199
,199
,199
,199
,199
,343
,343
,343
,343
,343
,343
,270
,233
,233
,233
,233
,233
,233
,233
,233
,233
,13
,10
,354
,354
,354
,354
,354
,354
,354
,42
,42
,103
,103
,103
,103
,103
,103
,103
,26
,174
,303
,303
,303
,303
,303
,303
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,87
,122
,122
,122
,246
,246
,246
,246
,246
,246
,246
,208
,333
,333
,82
,82
,296
,296
,296
,296
,296
,296
,86
,215
,215
,215
,215
,215
,94
,94
,94
,94
,94
,94
,94
,94
,94
,94
,94
,22
,309
,309
,309
,309
,309
,309
,353
,353
,353
,353
,250
,88
,88
,88
,88
,88
,88
,88
,88
,314
,314
,314
,314
,314
,131
,131
,131
,131
,131
,86
,86
,86
,117
,117
,117
,117
,117
,117
,117
,117
,117
,2
,138
,138
,138
,138
,138
,138
,138
,138
,138
,208
,208
,208
,208
,208
,208
,208
,208
,58
,58
,138
,95
,137
,137
,137
,137
,137
,137
,332
,332
,332
,2
,2
,2
,2
,2
,2
,117
,117
,117
,117
,117
,117
,117
,117
,117
,117
,2
,103
,103
,103
,103
,103
,103
,103
,307
,298
,298
,178
,178
,178
,178
,178
,178
,178
,178
,178
,178
,307
,307
,307
,307
,307
,307
,307
,124
,124
,124
,124
,124
,124
,124
,124
,124
,124
,307
,307
,307
,122
,122
,122
,231
,231
,231
,231
,231
,231
,310
,310
,355
,355
,355
,355
,355
,355
,353
,353
,355
,389
,389
,389
,389
,389
,389
,112
,112
,112
