32,90,35,187,33,50,1
3,80,35,120,151,48,1
18,79,37,66,285,68,1
57,91,36,153,58,58,1
79,98,38,87,257,38,1
76,68,38,275,2,74,1
55,97,37,166,137,47,1
56,143,39,182,54,72,1
56,80,36,183,30,39,1
81,104,39,171,30,49,1
97,99,37,173,78,52,1
89,110,35,200,19,33,1
81,87,34,177,152,43,1
20,109,35,68,104,89,1
61,90,38,135,98,36,1
60,88,36,104,291,38,1
62,75,26,0,208,56,1
99,101,39,145,130,88,1
68,102,36,38,254,75,1
67,108,33,6,191,36,1
89,92,37,60,293,52,1
89,83,25,2,139,44,1
62,97,41,68,184,39,1
59,101,38,121,100,33,1
12,111,37,265,47,45,1
13,100,37,139,94,110,1
16,91,38,82,203,45,1
60,94,41,226,89,50,1
63,144,36,53,263,83,1
62,101,37,149,190,50,1
62,102,36,243,85,39,1
55,91,36,125,133,84,1
58,93,37,1,215,91,1
59,49,37,127,173,51,1
71,144,37,293,23,47,1
70,126,34,55,199,47,1
97,111,43,121,178,71,1
91,104,39,103,104,50,1
71,97,37,158,80,89,1
84,101,36,52,248,38,1
79,96,39,150,169,49,1
96,91,39,183,45,75,1
69,92,34,157,22,77,1
94,95,35,21,150,91,1
82,77,43,191,44,40,1
89,83,42,5,251,52,1
65,79,37,171,5,36,1
78,73,34,122,161,34,1
76,85,35,58,167,34,1
55,78,39,5,129,62,1
11,77,34,241,13,90,1
62,49,35,145,68,86,1
3,109,37,123,212,43,1
55,68,37,152,85,47,1
65,183,37,120,154,53,1
58,93,36,166,3,47,1
90,148,39,58,291,49,1
94,109,43,82,282,54,1
100,78,43,165,89,71,1
61,137,36,72,120,96,1
7,99,35,124,255,90,1
60,91,44,50,254,99,1
2,83,39,189,90,82,1
65,153,36,234,1,85,1
62,164,34,231,41,87,1
65,103,36,162,100,61,1
11,88,37,131,93,63,1
62,92,36,143,248,88,1
15,91,37,91,95,64,1
27,85,35,193,83,76,1
26,86,34,222,61,74,1
58,97,28,244,26,58,1
63,77,43,226,79,57,1
4,77,37,120,282,93,1
55,59,39,73,121,68,1
60,85,38,210,95,83,1
60,84,36,159,104,72,1
57,79,37,246,17,71,1
56,85,34,176,190,77,1
56,85,35,218,80,81,1
59,85,27,191,66,57,1
84,107,34,142,274,86,1
99,131,39,230,81,65,1
96,135,40,205,41,74,1
84,101,38,196,32,59,1
89,105,37,213,97,75,1
83,100,17,105,268,58,1
98,88,42,133,107,75,1
74,85,41,181,45,57,1
99,87,38,124,58,86,1
71,88,38,120,105,92,1
95,92,37,197,60,57,1
79,85,36,107,217,66,1
71,77,38,192,80,72,1
65,83,39,200,49,89,1
74,63,36,275,82,59,1
61,106,40,265,46,120,1
7,97,38,121,108,102,1
56,90,37,14,107,101,1
0,88,39,82,179,108,1
11,92,32,27,129,105,1
8,85,37,139,95,98,1
14,77,36,92,176,107,1
65,181,34,224,74,108,1
55,102,36,170,109,111,1
59,85,38,143,198,107,1
6,88,36,159,22,113,1
57,89,35,180,26,110,1
55,89,35,44,256,107,1
55,92,25,125,224,108,1
61,83,37,181,204,107,1
13,78,37,280,83,107,1
57,81,37,244,47,107,1
55,80,35,34,193,105,1
64,66,38,119,140,110,1
71,105,39,141,45,96,1
